title,year,synopsis,critic_score,people_score,consensus,total_reviews,total_ratings,rating,genre,language,director,producer,writer,theater_release,streaming_release,gross_usa,runtime,production_co,crew,link
Giant,1956,"Wealthy Texas rancher Bick Benedict (Rock Hudson) shakes things up at home when he returns from a trip to the East Coast with a love interest, the refined Leslie Lynnton (Elizabeth Taylor). Bick and Leslie get married, but she clashes with his sister, Luz (Mercedes McCambridge), and wins the admiration of the ambitious young Jett Rink (James Dean). Bick and Jett form a tense rivalry that continues to surface as the years pass and fortunes change in this sweeping drama.",93,87,"Giant earns its imposing name with a towering narrative supported by striking cinematography, big ideas, and powerful work from a trio of legendary Hollywood leads.",45,"10,000+",G,drama,English,George Stevens,"Henry Ginsberg, George Stevens","Fred Guiol, Ivan Moffat",1956-11-24,2008-01-01,183900,201,Warner Brothers/Seven Arts,"Elizabeth Taylor, Rock Hudson, Carroll Baker, Jane Withers, Chill Wills, Mercedes McCambridge, Dennis Hopper, Sal Mineo, Rod Taylor, George Stevens, Edna Ferber, Fred Guiol, Ivan Moffat, Henry Ginsberg, George Stevens, Dimitri Tiomkin, William C. Mellor, Boris Leven",http://www.rottentomatoes.com/m/giant
The Crying Game,1992,"Irish Republican Army member Fergus (Stephen Rea) forms an unexpected bond with Jody (Forest Whitaker), a kidnapped British soldier in his custody, despite the warnings of fellow IRA members Jude (Miranda Richardson) and Maguire (Adrian Dunbar). Jody makes Fergus promise he'll visit his girlfriend, Dil (Jaye Davidson), in London, and when Fergus flees to the city, he seeks her out. Hounded by his former IRA colleagues, he finds himself increasingly drawn to the enigmatic, and surprising, Dil.",94,78,"The Crying Game is famous for its shocking twist, but this thoughtful, haunting mystery grips the viewer from start to finish.",66,"25,000+",R,mystery and thriller,English,Neil Jordan,Stephen Woolley,Neil Jordan,1992-11-25,2016-04-21,60700000,113,"British Screen Productions, Palace, Channel Four Films, Eurotrustees","Stephen Rea, Miranda Richardson, Forest Whitaker, Jim Broadbent, Ralph Brown, Adrian Dunbar, Jaye Davidson, Andree Bernard, Neil Jordan, Neil Jordan, Nik Powell, Stephen Woolley, Simon Boswell, Anne Dudley, Chris Lowe, Neil Tennant",http://www.rottentomatoes.com/m/crying_game
Daughters of the Dust,1991,"At the dawn of the 20th century, a family in the Gullah community of coastal South Carolina -- former West African slaves who adopted many of their ancestors' Yoruba traditions -- suffers a generational split. Young Haagar (Kaycee Moore) wants to move to the mainland away from tradition-bound matriarch Nana (Cora Lee Day). Former prostitute Yellow Mary (Barbara-O) gets a cold shoulder when she returns to the island with her female lover, especially from her sister Viola (Cheryl Lynn Bruce).",93,65,"Daughters of the Dust addresses its weighty themes with lovely visuals and a light, poetic touch, offering an original, absorbing look at a largely unexplored corner of American culture.",76,"1,000+",unknown,drama,English,Julie Dash,Julie Dash,Julie Dash,,2017-04-11,41000,114,"American Playhouse, WMG Film, Geechee Girls","Cora Lee Day, Alva Rogers, Adisa Anderson, Kaycee Moore, Barbara-O, Eartha Robinson, Bahni Turpin, Cheryl Lynn Bruce, Tommy Hicks, Cornell ""Kofi"" Royal, Julie Dash, Julie Dash, Julie Dash, Arthur Jafa, Amy Carey, Kerry Marshall, Michael Kelly Williams, Arline Burks Gant",http://www.rottentomatoes.com/m/daughters_of_the_dust
The Quiet Man,1952,"After accidentally killing an opponent in the ring, boxer Sean Thornton (John Wayne) leaves America and returns to his native Ireland, hoping buy his family's homestead and live in peace. In doing so, he runs afoul of Will Danaher (Victor McLaglen), who long coveted the property. Spitefully, Will objects when his fiery sister, Mary Kate (Maureen O'Hara), begins a romance with Sean, and refuses to hand over her dowry. Mary Kate refuses to consummate the marriage until Sean retrieves the money.",91,91,"Director John Ford and star John Wayne depart the Western for the Irish countryside, and the result is a beautifully photographed, often comedic romance.",45,"25,000+",unknown,drama,English,John Ford,"Merian C. Cooper, John Ford",Frank S. Nugent,1952-08-01,2016-07-13,,129,"Republic Pictures Corporation, Argosy Productions Corporation","John Wayne, Maureen O'Hara, Barry Fitzgerald, Victor McLaglen, Mildred Natwick, Arthur Shields, Ward Bond, Jack MacGowran, Frank S. Nugent, Maurice Walsh, Merian C. Cooper, Winton C. Hoch, Frank Hotaling, John McCarthy Jr.",http://www.rottentomatoes.com/m/quiet_man
About a Boy,2002,"A comedy-drama starring Hugh Grant as Will, a rich, child-free and irresponsible Londoner in his thirties who, in search of available women, invents an imaginary son and starts attending single parent meetings. As a result of one of his liaisons, he meets Marcus, an odd 12-year-old boy with problems at school. Gradually, Will and Marcus become friends, and as Will teaches Marcus how to be a cool kid, Marcus helps Will to finally grow up.",93,55,"About a Boy benefits tremendously from Hugh Grant's layered performance, as well as a funny, moving story that tugs at the heartstrings without tilting into treacle.",187,"250,000+",PG-13,"comedy, drama, romance",English,"Chris Weitz, Paul Weitz","Jane Rosenthal, Robert De Niro, Brad Epstein, Tim Bevan",unknown,2002-05-17,2016-04-19,40600000,100,Tribeca Productions,"Hugh Grant, Toni Collette, Rachel Weisz, Nicholas Hoult, Isabel Brook, Sharon Small, Victoria Smurfit, Augustus Prew, Chris Weitz, Paul Weitz, Peter Hedges, Chris Weitz, Paul Weitz, Nick Hornby, Jane Rosenthal, Robert De Niro, Brad Epstein, Tim Bevan",http://www.rottentomatoes.com/m/about_a_boy
To All the Boys I've Loved Before,2018,A teenage girl's love letters are exposed and wreak havoc on her life.,96,86,"To All the Boys I've Loved Before plays by the teen rom-com rules, but relatable characters and a thoroughly charming cast more than make up for a lack of surprises.",69,"2,500+",TV14,"drama, romance",English,Susan Johnson,"Dougie Cash, Matthew Kaplan, James Lassiter, Brian Robbins, Will Smith",Sofía Álvarez,,2018-08-17,,99,"Awesomeness Films, Overbrook Entertainment","Lana Condor, John Corbett, Noah Centineo, Israel Broussard, Janel Parrish, Andrew Bachelor, Madeleine Arthur, Anna Cathcart, Trezzo Mahoro, Susan Johnson, Dougie Cash, Matthew Kaplan, James Lassiter, Brian Robbins, Will Smith, Don Dunn",http://www.rottentomatoes.com/m/to_all_the_boys_ive_loved_before
Monsoon Wedding,2001,"The exuberant ensemble comedy unites a Punjabi family for the wedding of a family member. Relatives from all over the world descend on Delhi for the wedding ceremony. Universal in theme, the film explores the bonds that unite families in touching, dramatic, and comedic ways.",95,87,"An insightful, energetic blend of Hollywood and Bollywood styles, Monsoon Wedding is a colorful, exuberant celebration of modern-day India, family, love, and life.",124,"25,000+",R,"comedy, drama",English,Mira Nair,"Caroline Baron, Mira Nair",Sabrina Dhawan,2002-02-22,2014-02-12,13900000,100,"Delhi Dot Com, Mirabai Films","Naseeruddin Shah, Lillete Dubey, Mira Nair, Sabrina Dhawan, Caroline Baron, Mira Nair, Caroline Kaplan, Jonathan Sehring, Declan Quinn, Allyson C. Johnson",http://www.rottentomatoes.com/m/monsoon_wedding
Revanche,2008,"In a desperate attempt to improve life for his prostitute girlfriend, Tamara (Irina Potapenko), ex-con Alex (Johannes Krisch) returns to a life of crime and robs a bank. Escaping the scene, Alex takes refuge at a nearby farm belonging to his grandfather (Hannes Thanheiser) and struggles to blend in with the locals. After befriending new neighbor Susanne (Ursula Strauss), Alex is startled to discover that her husband, Robert (Andreas Lust), is a police officer.",96,83,"With Revanche, Götz Spielmann has crafted a debut as surprising as it is suspenseful.",83,"2,500+",unknown,"crime, drama, mystery and thriller",German,Götz Spielmann,"Sandra Bohle, Mathias Forberg, Götz Spielmann, Heinz Stussak",Götz Spielmann,2009-05-01,2017-05-23,,121,unknown,"Johannes Krisch, Andreas Lust, Irina Potapenko, Ursula Strauss, Hannes Thanheiser, Hanno Pöschl, Michael-Joachim Heiss, Götz Spielmann, Götz Spielmann, Sandra Bohle, Mathias Forberg, Götz Spielmann, Heinz Stussak, Martin Gschlacht",http://www.rottentomatoes.com/m/revanche
The Martian,2015,"When astronauts blast off from the planet Mars, they leave behind Mark Watney (Matt Damon), presumed dead after a fierce storm. With only a meager amount of supplies, the stranded visitor must utilize his wits and spirit to find a way to survive on the hostile planet. Meanwhile, back on Earth, members of NASA and a team of international scientists work tirelessly to bring him home, while his crew mates hatch their own plan for a daring rescue mission.",91,91,"Smart, thrilling, and surprisingly funny, The Martian offers a faithful adaptation of the bestselling book that brings out the best in leading man Matt Damon and director Ridley Scott.",380,"100,000+",PG-13,"drama, sci fi, adventure",English,Ridley Scott,"Simon Kinberg, Ridley Scott, Michael Schaefer, Aditya Sood, Mark Huffam",Drew Goddard,2015-10-02,2015-12-22,228400000,142,"20th Century Fox, Scott Free Productions","Matt Damon, Jessica Chastain, Kristen Wiig, Jeff Daniels, Michael Peña, Kate Mara, Sean Bean, Sebastian Stan, Aksel Hennie, Donald Glover, Ridley Scott, Drew Goddard, Simon Kinberg, Ridley Scott, Michael Schaefer, Aditya Sood, Mark Huffam, Drew Goddard, Dariusz Wolski, Pietro Scalia",http://www.rottentomatoes.com/m/the_martian
Edge of Tomorrow,2014,"When Earth falls under attack from invincible aliens, no military unit in the world is able to beat them. Maj. William Cage (Tom Cruise), an officer who has never seen combat, is assigned to a suicide mission. Killed within moments, Cage finds himself thrown into a time loop, in which he relives the same brutal fight -- and his death -- over and over again. However, Cage's fighting skills improve with each encore, bringing him and a comrade (Emily Blunt) ever closer to defeating the aliens.",91,90,"Gripping, well-acted, funny, and clever, Edge of Tomorrow offers entertaining proof that Tom Cruise is still more than capable of shouldering the weight of a blockbuster action thriller.",326,"100,000+",PG-13,"sci fi, action",English,Doug Liman,"Erwin Stoff, Tom Lassally, Jason Hoffs, Gregory Jacobs, Jeffrey Silver","Christopher McQuarrie, Jez Butterworth, John-Henry Butterworth",2014-06-06,2015-11-10,100200000,113,3 Arts Entertainment,"Tom Cruise, Emily Blunt, Brendan Gleeson, Bill Paxton, Jonas Armstrong, Tony Way, Kick Gurry, Franz Drameh, Dragomir Mrsic, Charlotte Riley, Doug Liman, Christopher McQuarrie, Jez Butterworth, John-Henry Butterworth, Erwin Stoff, Tom Lassally, Jason Hoffs, Gregory Jacobs, Jeffrey Silver, Doug Liman",http://www.rottentomatoes.com/m/live_die_repeat_edge_of_tomorrow
Snowpiercer,2013,A post-apocalyptic ice age forces humanity's last survivors aboard a globe-spanning supertrain. One man (Chris Evans) will risk everything to lead a revolt for control of the engine and the future of the world.,94,72,Snowpiercer offers an audaciously ambitious action spectacular for filmgoers numb to effects-driven blockbusters.,255,"50,000+",R,"mystery and thriller, sci fi, action",English,Bong Joon-ho,"Jeong Tae-seong, Steven Nam, Park Chan-wook, Lee Tae-hun","Bong Joon-ho, Kelly Masterson",2014-06-27,2017-03-07,4600000,125,"Opus, CJ Entertainment, Stillking Films, Moho Film","Chris Evans, Song Kang-ho, Tilda Swinton, Jamie Bell, Octavia Spencer, John Hurt, Ed Harris, Ewen Bremner, Ko Asung, Alison Pill, Bong Joon-ho, Bong Joon-ho, Kelly Masterson, Jeong Tae-seong, Steven Nam, Park Chan-wook, Lee Tae-hun, Miky Lee, Hong Gyeong pyo",http://www.rottentomatoes.com/m/snowpiercer
Blade Runner,1982,"Deckard (Harrison Ford) is forced by the police Boss (M. Emmet Walsh) to continue his old job as Replicant Hunter. His assignment: eliminate four escaped Replicants from the colonies who have returned to Earth. Before starting the job, Deckard goes to the Tyrell Corporation and he meets Rachel (Sean Young), a Replicant girl he falls in love with.",90,91,"Misunderstood when it first hit theaters, the influence of Ridley Scott's mysterious, neo-noir Blade Runner has deepened with time. A visually remarkable, achingly human sci-fi masterpiece.",121,"250,000+",R,"mystery and thriller, sci fi",English,Ridley Scott,Michael Deeley,"Hampton Fancher, David Webb Peoples",1982-06-25,2016-11-15,3900000,122,"Blade Runner Partnership, Ladd Company","Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos, M. Emmet Walsh, Daryl Hannah, William Sanderson, Brion James, Joe Turkel, Joanna Cassidy, Ridley Scott, Philip K. Dick, Hampton Fancher, David Webb Peoples, Michael Deeley, Hampton Fancher, Brian Kelly, Ivor Powell, Ridley Scott",http://www.rottentomatoes.com/m/blade_runner
The Hunger Games: Catching Fire,2013,"After arriving safely home from their unprecedented victory in the 74th Annual Hunger Games, Katniss Everdeen (Jennifer Lawrence) and Peeta Mellark (Josh Hutcherson) discover that they must do a quick turnaround and begin a Victors Tour. As she and Peeta travel throughout the districts, Katniss senses a rebellion is stirring. However, President Snow (Donald Sutherland) proves that he is still very much in control when word comes of a cruel change in the rules for the upcoming 75th Hunger Games.",90,89,"Smart, smoothly directed, and enriched with a deeper exploration of the franchise's thought-provoking themes, Catching Fire proves a thoroughly compelling second installment in the Hunger Games series.",293,"250,000+",PG-13,"sci fi, adventure, action",English,Francis Lawrence,"Nina Jacobson, Jon Kilik","Simon Beaufoy, Michael DeBruyn",2013-11-22,2016-08-26,,146,"Color Force, Lionsgate Films","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Elizabeth Banks, Lenny Kravitz, Stanley Tucci, Donald Sutherland, Philip Seymour Hoffman, Jeffrey Wright, Francis Lawrence, Simon Beaufoy, Michael DeBruyn, Nina Jacobson, Jon Kilik, Suzanne Collins, Louise Rosner-Meyer, Joe Drake, Allison Shearmur, Jo Willems",http://www.rottentomatoes.com/m/the_hunger_games_catching_fire
Love Is Strange,2014,"A recently married gay couple (John Lithgow, Alfred Molina) are forced to move into separate households after they lose their home.",93,66,"Held aloft by remarkable performances from John Lithgow and Alfred Molina, Love Is Strange serves as a graceful tribute to the beauty of commitment in the face of adversity.",177,"10,000+",R,"gay and lesbian, drama",English,Ira Sachs,"Lucas Joaquin, Jay Van Hoy, Lars Knudsen, Ira Sachs, Jayne Baron Sherman","Ira Sachs, Mauricio Zacharias",2014-08-22,2016-01-14,2300000,94,Parts & Labor,"John Lithgow, Alfred Molina, Marisa Tomei, Cheyenne Jackson, Charlie Tahan, Darren E. Burrows, John Cullum, Harriet Sansom Harris, Manny Perez, Christian Coulson, Ira Sachs, Ira Sachs, Mauricio Zacharias, Lucas Joaquin, Jay Van Hoy, Lars Knudsen, Ira Sachs, Jayne Baron Sherman, Blythe Robertson, Ali Betil",http://www.rottentomatoes.com/m/love_is_strange_2014
Last Year at Marienbad,1961,"In this unconventional French drama, a group of unnamed aristocrats interact at a palatial château, resulting in an enigmatic tale told partially in flashback. X (Giorgio Albertazzi) is convinced that he has met the beautiful A (Delphine Seyrig) before in the Czech resort town of Marienbad, and implies they had a romantic relationship. M (Sacha Pitoeff), who may be A's husband or boyfriend, confronts her mysterious suitor, leading to conflict and questions about the truth behind his story.",94,85,"Elegantly enigmatic and dreamlike, this work of essential cinema features exquisite cinematography and an exploration of narrative still revisited by filmmakers today.",53,"5,000+",unknown,drama,French,Alain Resnais,Raymond Froment,"Alain Resnais, Adolfo Bioy Casares, Alain Robbe-Grillet",1961-06-25,2016-11-08,60100,93,"Argos Films, Terra Film Produktion, Cocinor","Delphine Seyrig, Giorgio Albertazzi, Luce Garcia-Ville, Héléna Kornel, Françoise Spira, Karin Toeche-Mittler, Pierre Barbaud, Wilhelm von Deek, Alain Resnais, Alain Resnais, Adolfo Bioy Casares, Alain Robbe-Grillet, Raymond Froment, Sacha Vierny, Henri Colpi, Jasmine Chasney, Jacques Saulnier",http://www.rottentomatoes.com/m/last_year_at_marienbad
Undefeated,2011,"Since its founding in 1899, Manassas High School in North Memphis has never had a football team win a playoff game. In 2004, former high-school coach Bill Courtney offers to help turn the Manassas Tigers around. Nurturing his players' physical and emotional strengths, Courtney's efforts pay off in 2009, when the Tigers, led by their star player O.C., seem to have a chance to break their school's 110-year losing streak and finally win a playoff game.",96,89,"It covers familiar sports documentary territory, but Undefeated proves there are still powerful stories to be told on the high school gridiron.",102,"5,000+",PG-13,documentary,English,"Dan Lindsay, T.J. Martin",unknown,unknown,2012-02-17,2016-12-05,561100,113,unknown,"Bill Courtney, Dan Lindsay, T.J. Martin, Ralph Zipper, Nigel Sinclair, Guy East, Paolo Coppola, Jillian Longnecker, Michele Farinola",http://www.rottentomatoes.com/m/undefeated_2012
The Overnighters,2014,A pastor sparks a controversy in his North Dakota town by opening his church doors to homeless workers who are seeking jobs at nearby oil fields.,97,85,"Hard-hitting, absorbing, and painfully relevant, The Overnighters offers an urgent and compassionate picture of life in 21st century America.",73,"2,500+",PG-13,"drama, documentary",English,Jesse Moss,"Jesse Moss, Amanda McBaine",Jesse Moss,2014-10-10,2015-11-25,109600,101,Mile End Films West,"Jay Reinke, Andrea Reinke, Alan Mezo, Shelly Schultz, Keegan Edwards, Michael Batten, Jesse Moss, Jesse Moss, Jesse Moss, Jesse Moss, Jeff Seymann Gilbert",http://www.rottentomatoes.com/m/the_overnighters
Call Me Kuchu,2012,"In Uganda, openly gay David Kato and his fellow activists work to defeat new legislation in their country that would make homosexuality punishable by death.",98,89,"Alternately horrific and uplifting, Call Me Kuchu exposes heinous systematic brutality with a clear eye and admirable precision.",51,500+,unknown,"drama, documentary",English,"Katherine Fairfax Wright, Malika Zouhali-Worrall",Malika Zouhali-Worrall,"Katherine Fairfax Wright, Malika Zouhali-Worrall",2013-06-14,2016-08-10,7300,87,Cinedigm,"David Bahati, Katherine Fairfax Wright, Malika Zouhali-Worrall, Katherine Fairfax Wright, Malika Zouhali-Worrall, Malika Zouhali-Worrall, Katherine Fairfax Wright, Katherine Fairfax Wright",http://www.rottentomatoes.com/m/call_me_kuchu_2011
Holy Motors,2012,"Driven around Paris by a loyal driver (Édith Scob), a mysterious man (Denis Lavant) dresses up in costumes and plays a number of strange, semiscripted roles.",92,71,"Mesmerizingly strange and willfully perverse, Holy Motors offers an unforgettable visual feast alongside a spellbinding -- albeit unapologetically challenging -- narrative.",194,"10,000+",unknown,"comedy, drama, fantasy",French,Leos Carax,"Martine Marignac, Albert Prévost, Maurice Tinchant","Leos Carax, Leos Carax",2012-10-17,2016-12-06,641100,116,"Pierre Grise Productions, Pandora Filmproduktion","Denis Lavant, Édith Scob, Eva Mendes, Kylie Minogue, Elise Lhomeau, Michel Piccoli, Jeanne Disson, Leos Carax, Nastya Golubeva Carax, Reda Oumouzoune, Leos Carax, Leos Carax, Martine Marignac, Albert Prévost, Maurice Tinchant, Leos Carax",http://www.rottentomatoes.com/m/holy_motors
Restrepo,2010,"Photographer Tim Hetherington and journalist Sebastian Junger allow the realities of war to speak for themselves in this unnarrated documentary about a U.S. platoon in Afghanistan. The men of Second Platoon, Battle Company, 173rd Airborne Brigade teeter from naivete to weariness as months of alternating boredom and fighting take their toll. The loss of medic Juan ""Doc"" Restrepo leads the platoon to name an outpost in the remote Korengal Valley after him.",96,88,"Forsaking narrative structure for pure visceral power, Restrepo plunges viewers into the experiences of soldiers on the front lines of the Afghan War.",118,"10,000+",R,"history, documentary, war, drama, biography",English,"Tim Hetherington, Sebastian Junger","Tim Hetherington, Sebastian Junger",unknown,2010-06-25,2016-11-18,1300000,93,Outpost Films,"Dan Kearney, LaMonta Caldwell, Misha Pemble-Belkin, Brendan O'Byrne, William Ostlund, Joshua McDonough, Kyle Steiner, Tim Hetherington, Sebastian Junger, John Battsek, Nick Quested, Tim Hetherington, Sebastian Junger, Tim Hetherington, Sebastian Junger",http://www.rottentomatoes.com/m/restrepo
Mea Maxima Culpa: Silence in the House of God,2012,"Filmmaker Alex Gibney examines reports of pedophilia within the Roman Catholic Church, focusing specifically on a group of men who alleged that they were abused as boys by a priest at a Milwaukee school for the deaf.",98,90,"Examining the intricacies of global scandal through one haunting case, Mea Maxima Culpa is an impassioned and meticulous exposé on abuses of power and institutional sin.",50,"1,000+",unknown,documentary,English,Alex Gibney,"Nicoletta Billi, Trevor Birney, Alex Gibney, Alexandra Johnes, Ruth O'reilly",Alex Gibney,,2016-03-10,,107,"Jigsaw Prods., Wider Film Projects","Alex Gibney, Jamey Sheridan, Chris Cooper, Ethan Hawke, John Slattery, Alex Gibney, Alex Gibney, Lori Singer, Jessica Kingdon, Sheila Nevins, Trevor Birney, Alex Gibney, Alexandra Johnes",http://www.rottentomatoes.com/m/mea_maxima_culpa_silence_in_the_house_of_god
Let the Fire Burn,2012,"Filmmaker Jason Osder illustrates how prejudice, intolerance and fear can lead to unthinkable acts of violence.",98,90,"Smartly edited and heartbreakingly compelling, Let the Fire Burn uses archival footage to uncover a troubling -- and still deeply resonant -- chapter in American history.",46,500+,unknown,"mystery and thriller, drama",English,Jason Osder,Jason Osder,unknown,2013-09-20,2016-03-22,59000,88,unknown,"Jason Osder, Jason Osder, Andrew Herwitz, Nels Bangerter",http://www.rottentomatoes.com/m/let_the_fire_burn_2013
The Queen of Versailles,2012,"The 2008 global economic crisis threatens the fortune of Florida billionaires David and Jackie Siegel just as they are in the middle of building a 90,000 square-foot estate.",95,73,"The Queen of Versailles is a timely, engaging, and richly drawn portrait of the American Dream improbably composed of equal parts compassion and schadenfreude.",119,"10,000+",PG,documentary,English,Lauren Greenfield,"Danielle Renfrew Behrens, Lauren Greenfield",Lauren Greenfield,,2016-10-04,2400000,100,unknown,"Lauren Greenfield, Lauren Greenfield, Danielle Renfrew Behrens, Lauren Greenfield",http://www.rottentomatoes.com/m/the_queen_of_versailles
For the Bible Tells Me So,2007,"Delving into values of the religious right and the accompanying homophobia, ""For the Bible Tells Me So"" focuses on how conservative Christians' interpretation of the Bible is commonly used as a way to deny homosexuals equal rights. Following five families with an openly gay son or daughter, director Daniel G. Karslake offers a firsthand look at how those in the Christian community with an out child are affected by the homophobic fervor. Karslake also interviews a number of religious leaders.",98,90,"A timely and poignant examination of gays, their families and religion.",51,"2,500+",unknown,"gay and lesbian, documentary",English,Daniel G. Karslake,unknown,Daniel G. Karslake,,2017-03-25,309100,95,unknown,"Gene Robinson, Victor Robinson, Brenda Poteat, David Poteat, Daniel G. Karslake, Daniel G. Karslake, Helen R. Mendoza",http://www.rottentomatoes.com/m/for_the_bible_tells_me_so
Blindsight,2006,"Six blind Tibetan teenagers, shunned by their culture as sinners or possessed by demons, band together to climb the north side of Mount Everest. With the inspiration of their fiery, blind teacher who fought to establish a Tibetan school for blind children, the teens are guided by Erik Weihenmayer, the only blind mountaineer to have successfully scaled Everest. The climbers suffer through illness, bad weather, and the stark challenge of tackling one of the greatest natural wonders on the planet.",98,83,A powerful glimpse of the possibilities for transcendence in straightforward documentary filmmaking -- and extreme physical disability.,50,"1,000+",PG,"adventure, documentary",Tibetan,Lucy Walker,Sybil Robson,unknown,,2017-01-20,88300,104,unknown,"Erik Weihenmayer, Jeff Evans, Stefani Jackenthal, Kami Tenzing Sherpa, Sabriye Tenberken, Ed Weihenmayer, Lucy Walker, Steven Haft",http://www.rottentomatoes.com/m/blindsight
Pandora's Box,1929,"In this acclaimed German silent film, Lulu (Louise Brooks) is a young woman so beautiful and alluring that few can resist her siren charms. The men drawn into her web include respectable newspaper publisher Dr. Ludwig Schön (Fritz Kortner), his musical producer son Alwa (Franz Lederer), circus performer Rodrigo Quast (Krafft-Raschig) and Lulu's seedy old friend, Schigolch (Carl Goetz). When Lulu's charms inevitably lead to tragedy, the downward spiral encompasses them all.",93,86,"Marked by GW Pabst's innovative, atmospheric direction and a surprisingly modern storyline, Pandora's Box ultimately owes its power to Louise Brooks' monumental, iconic performance.",41,"2,500+",unknown,drama,unknown,G.W. Pabst,Heinz Landsmann,Ladislaus Vajda,,2020-10-15,44800,110,Nero-Film AG,"Louise Brooks, Fritz Kortner, Franz Lederer, Carl Goetz, Daisy d'Ora, Krafft-Raschig, Michael v. Newlinsky, Siegfried Arno, Gustav Diesel, G.W. Pabst, Ladislaus Vajda",http://www.rottentomatoes.com/m/pandoras_box
The Imposter,2012,"Filmmaker Bart Layton chronicles the tale of Frederic Bourdin, a con artist who seemingly tricked a Texas family into believing he was a relative who disappeared years earlier.",95,78,"Despite its true-crime trappings, The Imposter is an utterly gripping and sometimes heartbreaking documentary thriller cleverly told with narrative flair.",116,"50,000+",R,documentary,English,Bart Layton,Dimitri Doganis,unknown,2012-07-13,2017-03-17,898300,95,"A&E IndieFilms, 24 Seven Productions, Film 4","Anna Ruben, Cathy Dresbach, Alan Teichman, Maria Jesus Hoyos, Ken Appledorn, Frédéric Bourdin, Bart Layton, Dimitri Doganis",http://www.rottentomatoes.com/m/the_imposter_2012
Surfwise,2007,"Forsaking a traditional home life, Dorian ""Doc"" Paskowitz and his wife raise their large brood in a 24-foot camper and spend their time surfing.",98,66,An intriguing account of a unique family.,46,"25,000+",R,documentary,English,Doug Pray,"Graydon Carter, Tommy Means, Jonathan Paskowitz",Doug Pray,,2016-08-10,268600,93,HDNet,"Doug Pray, Doug Pray, Todd Wagner, Mark Cuban, Joana Vicente, Jason Kliot, John Dragonetti, Graydon Carter, Tommy Means, Jonathan Paskowitz",http://www.rottentomatoes.com/m/surfwise
No End in Sight,2007,"This documentary film takes a critical look at the American invasion of Iraq in 2003 and the war that followed. The film includes extensive interviews with various military and government officials, many of whom worked under President George W. Bush during the beginning of the Iraq war. Filmmaker Charles Ferguson uses these first-hand accounts to suggest that the Bush administration, as well as the provisional government they instated in Iraq, have made crucial, irresponsible errors.",96,94,"Charles Ferguson's documentary provides a good summary of the decisions that led to the mess in post-war Iraq, and offers politically interested audiences something they'd been looking for: a lowdown on the decision making.",98,"5,000+",unknown,documentary,English,Charles Ferguson,"Charles Ferguson, Jennie Amias, Jessie Vogelson",Charles Ferguson,2007-07-27,2017-03-23,1400000,102,unknown,"Campbell Scott, Charles Ferguson, Charles Ferguson, Charles Ferguson, Jennie Amias, Jessie Vogelson",http://www.rottentomatoes.com/m/no_end_in_sight
The Life and Times of Hank Greenberg,1999,"""The Life and Times of Hank Greenberg"" is a humorous and nostalgic documentary about an extraordinary baseball player who transcended religious prejudice to become an American icon. Detroit Tiger Hammerin Hank's accomplishments during the Golden Age of Baseball rivaled those of Babe Ruth and Lou Gehrig.",97,80,"The Life and Times of Hank Greenberg is an affectionate, often very funny portrait of a baseball pioneer.",65,500+,PG,"documentary, biography",English,Aviva Kempner,Aviva Kempner,Aviva Kempner,1999-07-02,2017-01-08,1700000,89,Ciesla Foundation,"Hank Greenberg, Bob Feller, Charlie Gehringer, Walter Matthau, Ira Berkow, Sander Levin, Michael Moriarty, Aviva Kempner, Aviva Kempner, Aviva Kempner, Ari Daniel Pinchot, Jerry Feldman, Kevin Hewitt, Tom Hurwitz, Tom Kaufman, Christopher Li, Scott Mumford",http://www.rottentomatoes.com/m/the_life_and_times_of_hank_greenberg
Burma VJ: Reporting From a Closed Country,2008,Thousands of citizens of Myanmar take to the streets in several cities to protest the Asian nation's repressive regime. The protests take on a new degree of seriousness when dozens of monks launch their own marches down city streets. This documentary from Anders Ostergaard focuses on the work of videographers and citizen journalists who defy the government's crackdown on the media -- a brave bunch who manage to transmit footage of the uprising to the outside world.,97,91,A powerfully visceral docu-drama highlighting the evils of censorship and the essential need for freedom of speech.,62,"1,000+",unknown,documentary,English,Anders Østergaard,Lise Lense-Møller,"Jan Krogsgaard, Anders Østergaard",2009-05-20,2019-01-03,50400,84,unknown,"George W. Bush, Anders Østergaard, Jan Krogsgaard, Anders Østergaard, Lise Lense-Møller",http://www.rottentomatoes.com/m/burma-vj
An Inconvenient Truth,2006,"Filmmaker Davis Guggenheim follows Al Gore on the lecture circuit, as the former presidential candidate campaigns to raise public awareness of the dangers of global warming and calls for immediate action to curb its destructive effects on the environment.",93,79,"This candid, powerful and informative documentary illuminates some of the myths surrounding its dual subjects: global warming and Al Gore.",166,"100,000+",PG,documentary,English,Davis Guggenheim,"Laurie David, Lawrence Bender",unknown,,2013-08-01,23800000,95,Participant Prods.,"Al Gore, Billy West, Davis Guggenheim, Laurie David, Lawrence Bender, Jeff Skoll, Davis Guggenheim",http://www.rottentomatoes.com/m/inconvenient_truth
